CO,NO2,PM2.5,SO2,source_label,health_impact,Precautionary_Measures,AQI
1.581,4.44,12.39,2.11,Natural background air,Moderate,Keep an eye on air quality updates hourly,6.9855
4.766,7.51,115.01,2.03,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,59.888
5.082,16.22,241.37,4.47,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,123.226
5.776,23.3,231.17,14.93,Waste burning,Very unhealthy,Use an air filter or purifier in your home,118.473
5.631,49.6,45.66,2.68,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,25.6455
7.797,31.99,236.15,14.87,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,121.9735
1.11,45.67,34.13,25.48,Power plant emissions,Moderate,Enjoy outdoor activities but with caution,17.62
1.408,54.1,57.88,22.58,Power plant emissions,Unhealthy,Ensure proper ventilation with an air filter system,29.644
9.277,67.3,49.4,7.02,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,29.3385
7.184,51.95,25.89,1.08,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,16.537
4.968,76.4,42.22,2.58,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,23.594
4.414,16.43,135.65,3.58,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,70.032
4.106,4.29,105.51,4.12,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,54.808
2.436,41.05,66.61,27.76,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,34.523
7.001,54.2,31.06,4.34,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,19.0305
1.513,11.91,209.53,8.95,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",105.5215
1.763,14.13,253.38,0.87,Construction dust,Hazardous,All outdoor activity must cease for a short period,127.5715
1.131,10.72,23.44,4.56,Natural background air,Moderate,Stay informed on daily air quality forecasts,12.2855
0.97,5.32,8.02,4.82,Natural background air,Good,Enjoy all outdoor activities with no restrictions,4.495
0.765,6.65,188.34,3.67,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",94.5525
5.643,15.24,246.51,9.68,Waste burning,Very unhealthy,Use an air filter or purifier in your home,126.0765
3.834,74.48,85.31,30.83,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,44.572
1.191,8.09,294.42,4.84,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,147.8055
0.959,5.51,22.85,1.84,Natural background air,Moderate,Enjoy outdoor activities but with caution,11.9045
5.184,26.6,244.83,0.76,Waste burning,Very unhealthy,Use an air filter or purifier in your home,125.007
5.173,23.14,204.98,13.5,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,105.0765
1.652,51.71,49.69,38.64,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,25.671
1.385,36.52,78.75,32.92,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,40.0675
1.869,0.73,158.64,5.66,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,80.2545
4.417,17.6,106.67,6.78,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,55.5435
3.069,74.15,65.88,31.81,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,34.4745
8.792,44.27,40.36,0.78,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,24.576
5.45,34.77,35.14,1.61,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,20.295
1.327,49.52,63.71,49.42,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,32.5185
5.745,10.66,99.8,6.96,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,52.7725
0.1,4.03,16.36,2.67,Natural background air,Moderate,Be mindful of your body's health reactions,8.23
7.98,58.85,28.28,3.68,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,18.13
5.425,18.95,89.61,9.55,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,47.5175
1.821,89.86,80.41,26.83,Industrial emissions,Unhealthy,Ensure proper ventilation with an air filter system,41.1155
5.678,8.39,173.86,4.76,Biomass burning,Very unhealthy,It is strongly advised to remain indoors now,89.769
4.732,17.31,197.71,4.08,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,101.221
7.595,33.28,46.26,1.71,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,26.9275
2.538,17.35,81.43,1.18,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,41.984
4.103,17.11,167.01,9.26,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,85.5565
3.228,61.85,74.87,24.9,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,39.049
7.225,42.85,28.26,8.97,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,17.7425
1.86,7.26,12.26,0.6,Natural background air,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,7.06
4.44,57.93,40.45,8.88,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,22.445
2.293,53.19,93.58,32.96,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,47.9365
6.888,11.01,161.41,7.74,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,84.149
5.135,75.81,39.66,3.83,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,22.3975
5.338,75.0,32.18,1.91,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,18.759
0.018,3.02,23.98,3.07,Natural background air,Moderate,Be mindful of your body's health reactions,11.999
4.615,32.15,169.32,8.47,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,86.9675
2.478,4.01,67.27,1.86,Domestic cooking/heating smoke,Very unhealthy,Keep windows sealed and use indoor air circulation,34.874
0.835,1.1,169.99,9.8,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,85.4125
0.933,0.79,127.72,7.17,Construction dust,Unhealthy,Use an air purifier to improve indoor air quality,64.3265
1.388,0.24,187.71,3.52,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,94.549
3.611,10.47,115.17,7.93,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,59.3905
7.838,43.64,29.88,8.35,Traffic congestion,Moderate,Be mindful of your body's health reactions,18.859
5.937,12.07,123.58,6.48,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,64.7585
1.44,1.52,232.54,3.56,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,116.99
4.679,10.55,166.6,8.9,Biomass burning,Very unhealthy,Use an air filter or purifier in your home,85.6395
1.319,9.37,7.06,1.89,Natural background air,Moderate,Stay informed on daily air quality forecasts,4.1895
4.457,0.55,141.15,9.64,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,72.8035
1.557,58.6,37.14,37.82,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,19.3485
4.574,13.79,165.48,8.94,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",85.027
1.889,51.24,41.42,22.7,Power plant emissions,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,21.6545
9.649,77.74,57.02,3.7,Traffic congestion,Unhealthy,Consider wearing an N95 respirator mask outdoors,33.3345
1.372,28.89,51.81,40.09,Power plant emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,26.591
5.255,34.4,28.53,0.18,Traffic congestion,Moderate,Stay informed on daily air quality forecasts,16.8925
4.823,5.91,97.26,6.52,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,51.0415
3.666,87.83,110.49,35.43,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,57.078
7.33,30.1,230.1,0.89,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,118.715
1.924,75.53,64.93,32.16,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,33.427
4.366,25.64,183.03,6.11,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,93.698
4.189,34.04,202.2,9.47,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",103.1945
2.117,16.67,89.75,8.98,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,45.9335
0.487,6.87,256.95,2.06,Construction dust,Hazardous,Close all building ventilation systems to the outside,128.7185
4.601,79.35,38.1,3.71,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,21.3505
4.341,59.95,48.71,0.17,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,26.5255
8.219,57.27,35.83,8.14,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,22.0245
7.589,50.55,26.92,3.35,Traffic congestion,Moderate,Keep an eye on air quality updates hourly,17.2545
4.13,38.88,44.21,6.92,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,24.17
3.916,4.25,84.95,3.04,Biomass burning,Unhealthy,Avoid all non-essential outdoor physical exertion,44.433
9.216,75.75,42.9,5.02,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,26.058
1.063,6.0,291.71,6.42,Construction dust,Hazardous,Outdoor activities are dangerous for all population groups,146.3865
0.271,2.18,245.84,6.43,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,123.0555
8.025,56.63,37.56,8.77,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,22.7925
7.17,68.84,43.21,8.52,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,25.19
2.689,13.82,94.12,6.62,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,48.4045
3.545,13.39,92.76,3.54,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,48.1525
4.433,73.37,53.45,10.0,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,28.9415
7.34,66.02,48.11,2.8,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,27.725
0.763,2.11,15.62,3.64,Natural background air,Moderate,Continue with normal activities but remain vigilant,8.1915
0.31,4.52,165.57,3.72,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,82.94
4.414,19.58,156.46,1.26,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,80.437
0.493,0.95,144.58,8.59,Construction dust,Unhealthy,Postpone outdoor sports and strenuous activities today,72.5365
3.868,5.57,88.34,5.46,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,46.104
6.201,79.34,46.2,2.37,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,26.2005
5.706,59.92,37.63,0.92,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,21.668
2.978,84.86,94.93,30.73,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,48.954
0.944,7.35,272.57,8.32,Construction dust,Hazardous,Close all building ventilation systems to the outside,136.757
4.27,11.06,123.96,3.89,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,64.115
4.716,19.81,242.22,2.12,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,123.468
8.529,70.53,59.67,4.13,Traffic congestion,Unhealthy,Wear a high-efficiency particulate air mask outdoors,34.0995
1.603,6.62,12.27,4.24,Natural background air,Moderate,Stay informed on daily air quality forecasts,6.9365
4.108,18.66,179.47,6.97,Biomass burning,Very unhealthy,Wear a certified respirator mask when stepping outside,91.789
2.334,40.8,77.66,41.86,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,39.997
9.442,35.47,36.18,9.5,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,22.811
2.349,50.54,76.38,25.94,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,39.3645
8.643,41.58,46.8,0.85,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,27.7215
1.422,0.78,21.49,2.29,Natural background air,Moderate,Stay informed on daily air quality forecasts,11.456
7.638,24.22,214.56,12.18,Waste burning,Very unhealthy,Use an air filter or purifier in your home,111.099
4.174,2.79,115.14,2.81,Domestic cooking/heating smoke,Very unhealthy,"Cancel all outdoor activities, including school sports",59.657
1.819,2.9,195.52,4.49,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,98.6695
1.311,3.5,275.73,3.09,Construction dust,Hazardous,Close all building ventilation systems to the outside,138.5205
1.185,7.24,232.44,0.1,Construction dust,Very unhealthy,It is strongly advised to remain indoors now,116.8125
3.193,6.61,79.27,4.83,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,41.2315
4.779,10.49,65.51,0.39,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,35.1445
3.458,84.33,66.74,21.09,Industrial emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,35.099
5.717,58.15,47.8,8.3,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,26.7585
0.181,3.94,277.58,1.29,Construction dust,Hazardous,Evacuate from affected areas if public safety permits,138.8805
2.064,55.07,71.45,21.61,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,36.757
5.567,30.06,151.85,6.66,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,78.7085
5.419,78.2,25.43,9.7,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,15.4245
0.872,2.35,290.61,7.67,Construction dust,Hazardous,Close all building ventilation systems to the outside,145.741
3.03,9.28,195.66,5.19,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,99.345
9.512,37.7,58.26,4.46,Traffic congestion,Unhealthy,Stay indoors with windows and doors securely closed,33.886
2.259,40.15,38.33,49.6,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,20.2945
1.843,11.36,18.29,3.55,Natural background air,Moderate,Stay informed on daily air quality forecasts,10.0665
9.085,32.14,53.51,2.82,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,31.2975
4.807,47.54,58.0,3.23,Traffic congestion,Unhealthy,Consider wearing an N95 respirator mask outdoors,31.4035
2.703,55.37,50.34,43.11,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,26.5215
0.304,1.95,182.87,8.08,Construction dust,Unhealthy,Ensure proper ventilation with an air filter system,91.587
2.537,74.33,53.88,18.04,Industrial emissions,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,28.2085
4.31,11.6,142.49,7.59,Biomass burning,Unhealthy,Postpone outdoor sports and strenuous activities today,73.4
1.226,13.03,16.55,2.17,Natural background air,Moderate,Enjoy outdoor activities but with caution,8.888
0.214,3.58,290.92,3.05,Construction dust,Hazardous,Close all building ventilation systems to the outside,145.567
6.31,77.59,50.62,5.99,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,28.465
2.037,27.74,41.64,35.27,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,21.8385
7.958,27.11,242.4,2.14,Waste burning,Very unhealthy,Use an air filter or purifier in your home,125.179
5.9,33.06,111.84,4.21,Waste burning,Unhealthy,Ensure proper ventilation with an air filter system,58.87
7.704,14.04,244.91,3.09,Waste burning,Very unhealthy,Use an air filter or purifier in your home,126.307
6.576,43.14,37.46,7.58,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,22.018
2.818,51.85,63.82,29.73,Power plant emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,33.319
5.31,16.14,95.3,2.66,Biomass burning,Unhealthy,Use an air purifier to improve indoor air quality,50.305
1.875,7.95,15.37,2.41,Natural background air,Moderate,Enjoy outdoor activities but with caution,8.6225
4.533,25.81,120.12,8.68,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,62.3265
4.21,22.07,79.03,5.88,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,41.62
1.89,7.34,8.55,4.62,Natural background air,Moderate,Continue with normal activities but remain vigilant,5.22
1.636,57.44,32.81,35.08,Power plant emissions,Moderate,Stay informed on daily air quality forecasts,17.223
1.236,7.64,218.69,3.59,Construction dust,Very unhealthy,Use an air filter or purifier in your home,109.963
2.58,46.95,32.24,39.05,Power plant emissions,Moderate,Consider reducing prolonged outdoor physical activity,17.41
3.982,73.43,89.49,33.54,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,46.736
1.703,7.25,195.48,9.78,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",98.5915
2.531,57.6,40.24,44.14,Power plant emissions,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,21.3855
2.206,33.73,57.19,41.15,Power plant emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,29.698
5.83,47.1,48.54,7.52,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,27.185
3.78,6.9,190.18,2.91,Biomass burning,Very unhealthy,Keep windows sealed and use indoor air circulation,96.98
1.6,42.13,38.4,31.29,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,20.0
2.66,8.76,94.16,0.69,Domestic cooking/heating smoke,Unhealthy,Consider wearing an N95 respirator mask outdoors,48.41
9.785,72.8,35.31,3.85,Traffic congestion,Moderate,Continue with normal activities but remain vigilant,22.5475
2.724,1.01,97.6,1.3,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,50.162
2.473,27.76,32.46,32.2,Power plant emissions,Moderate,Enjoy outdoor activities but with caution,17.4665
8.998,50.46,48.38,2.05,Traffic congestion,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,28.689
6.809,79.02,42.24,3.29,Traffic congestion,Unhealthy for sensitive groups,Monitor your symptoms and seek medical advice,24.5245
5.657,33.95,181.63,9.08,Waste burning,Very unhealthy,Use an air filter or purifier in your home,93.6435
1.682,44.59,92.64,32.04,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,47.161
1.471,42.81,75.74,27.14,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,38.6055
4.553,31.48,175.51,10.12,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,90.0315
0.081,13.71,20.82,1.49,Natural background air,Moderate,Enjoy outdoor activities but with caution,10.4505
1.1,31.1,56.88,37.7,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,28.99
0.12,13.33,179.9,3.15,Construction dust,Very unhealthy,Postpone all unnecessary outdoor travel and work,90.01
1.15,29.61,71.87,27.95,Power plant emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,36.51
5.897,35.79,48.95,4.4,Traffic congestion,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,27.4235
3.149,44.53,55.92,16.29,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,29.5345
3.356,5.78,128.34,9.2,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,65.848
3.092,55.57,114.78,39.31,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,58.936
4.903,10.99,85.77,7.98,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,45.3365
2.833,61.14,108.95,37.6,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,55.8915
3.375,8.78,69.35,4.86,Domestic cooking/heating smoke,Unhealthy,Stay indoors with windows and doors securely closed,36.3625
4.884,16.7,144.06,2.65,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,74.472
0.026,11.93,206.41,1.31,Construction dust,Very unhealthy,Wear a certified respirator mask when stepping outside,103.218
6.976,32.98,164.14,5.13,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,85.558
2.117,62.17,81.32,30.71,Industrial emissions,Unhealthy,Consider wearing an N95 respirator mask outdoors,41.7185
2.228,34.04,54.17,33.45,Power plant emissions,Moderate,Be mindful of your body's health reactions,28.199
0.53,6.73,13.44,3.32,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,6.985
6.901,12.81,161.76,13.3,Waste burning,Very unhealthy,Use an air filter or purifier in your home,84.3305
4.471,9.62,101.86,3.03,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,53.1655
3.816,15.19,134.52,7.77,Biomass burning,Unhealthy,Ensure proper ventilation with an air filter system,69.168
5.187,17.23,113.61,8.07,Biomass burning,Unhealthy,Stay indoors with windows and doors securely closed,59.3985
0.325,13.43,17.15,1.25,Natural background air,Moderate,Continue with normal activities but remain vigilant,8.7375
3.829,17.49,135.6,8.03,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,69.7145
4.113,18.04,177.0,9.85,Biomass burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,90.5565
3.426,6.96,134.59,7.49,Biomass burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,69.008
7.285,23.62,112.6,14.33,Waste burning,Unhealthy,Wear a high-efficiency particulate air mask outdoors,59.9425
5.854,19.9,165.7,9.81,Biomass burning,Hazardous,Outdoor activities are dangerous for all population groups,85.777
2.673,59.13,78.78,22.89,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,40.7265
1.62,32.18,55.21,30.36,Power plant emissions,Unhealthy,Postpone outdoor sports and strenuous activities today,28.415
7.738,17.58,217.5,11.49,Waste burning,Very unhealthy,Keep windows sealed and use indoor air circulation,112.619
7.169,26.91,202.27,14.19,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,104.7195
2.166,62.99,67.39,24.96,Industrial emissions,Unhealthy,Wear a high-efficiency particulate air mask outdoors,34.778
5.216,6.31,157.74,3.95,Biomass burning,Very unhealthy,Keep windows sealed and use indoor air circulation,81.478
0.705,10.84,178.14,9.06,Construction dust,Very unhealthy,Use an air filter or purifier in your home,89.4225
2.917,83.53,82.38,28.37,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,42.6485
3.974,1.75,96.18,1.82,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,50.077
4.798,13.61,78.83,6.17,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,41.814
3.796,12.03,116.29,7.14,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,60.043
5.371,13.36,115.07,12.47,Waste burning,Unhealthy,Avoid all non-essential outdoor physical exertion,60.2205
3.507,18.29,146.27,2.2,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,74.8885
0.105,12.79,156.48,8.74,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,78.2925
2.931,37.61,46.93,21.21,Power plant emissions,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,24.9305
0.677,8.46,157.69,7.42,Construction dust,Very unhealthy,Keep windows sealed and use indoor air circulation,79.1835
1.801,58.2,50.32,43.38,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,26.0605
0.773,6.3,221.62,0.06,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",111.1965
1.364,40.63,38.27,41.49,Power plant emissions,Unhealthy for sensitive groups,Vulnerable populations advised to avoid outdoor exposure,19.817
1.272,2.47,197.94,2.87,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",99.606
1.334,13.67,182.87,6.22,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,92.102
7.176,33.52,193.86,11.12,Waste burning,Very unhealthy,"Cancel all outdoor activities, including school sports",100.518
2.632,20.23,74.08,3.43,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,38.356
6.513,39.49,30.48,2.5,Traffic congestion,Moderate,Consider reducing prolonged outdoor physical activity,18.4965
6.177,34.39,156.0,5.36,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,81.0885
4.076,5.16,95.88,8.96,Domestic cooking/heating smoke,Unhealthy,Wear a high-efficiency particulate air mask outdoors,49.978
2.151,30.29,59.09,43.22,Power plant emissions,Unhealthy,Stay indoors with windows and doors securely closed,30.6205
4.012,0.39,95.8,4.14,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,49.906
1.605,11.8,212.24,3.0,Construction dust,Very unhealthy,"Cancel all outdoor activities, including school sports",106.9225
9.363,61.93,52.82,5.03,Traffic congestion,Unhealthy for sensitive groups,Sensitive individuals should limit strenuous outdoor efforts,31.0915
9.98,58.22,51.91,9.45,Traffic congestion,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,30.945
6.881,17.18,232.08,0.74,Waste burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,119.4805
3.34,12.54,82.95,4.71,Domestic cooking/heating smoke,Unhealthy,Postpone outdoor sports and strenuous activities today,43.145
1.888,0.06,163.62,9.38,Construction dust,Very unhealthy,Avoid exposure to outdoor air as much as possible,82.754
3.168,13.54,147.16,0.67,Domestic cooking/heating smoke,Unhealthy,Use an air purifier to improve indoor air quality,75.164
4.584,33.45,237.73,13.31,Waste burning,Very unhealthy,Wear a certified respirator mask when stepping outside,121.157
4.042,18.0,83.6,6.64,Biomass burning,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,43.821
1.671,0.65,5.92,4.45,Natural background air,Moderate,Keep an eye on air quality updates hourly,3.7955
3.909,63.24,67.29,17.76,Industrial emissions,Unhealthy,Use an air purifier to improve indoor air quality,35.5995
3.889,64.69,106.61,29.21,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,55.2495
4.055,12.04,139.53,0.42,Waste burning,Unhealthy,Use an air purifier to improve indoor air quality,71.7925
2.585,12.23,127.01,4.93,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,64.7975
4.126,0.21,80.37,6.62,Domestic cooking/heating smoke,Unhealthy,Avoid all non-essential outdoor physical exertion,42.248
1.641,0.57,9.18,2.71,Natural background air,Moderate,Consider reducing prolonged outdoor physical activity,5.4105
2.663,41.26,103.51,16.85,Industrial emissions,Unhealthy,Avoid all non-essential outdoor physical exertion,53.0865
1.409,47.31,47.94,49.87,Power plant emissions,Unhealthy for sensitive groups,Limit time spent in high-traffic or dusty areas,24.6745
2.999,33.19,43.26,40.22,Power plant emissions,Unhealthy for sensitive groups,Avoid strenuous outdoor work or physical exercise,23.1295
0.163,2.9,291.18,4.09,Construction dust,Hazardous,Use high-quality N95 respirator masks if unavoidable,145.6715
5.121,1.25,180.88,0.04,Biomass burning,Very unhealthy,Avoid exposure to outdoor air as much as possible,93.0005
8.64,40.17,36.33,4.25,Traffic congestion,Unhealthy for sensitive groups,People with respiratory issues must stay indoors,22.485
6.981,15.81,161.39,4.04,Waste burning,Very unhealthy,It is strongly advised to remain indoors now,84.1855
4.955,54.98,59.5,2.42,Traffic congestion,Unhealthy,Consider wearing an N95 respirator mask outdoors,32.2275
3.575,18.36,93.11,5.06,Biomass burning,Unhealthy,Consider wearing an N95 respirator mask outdoors,48.3425
6.39,62.52,41.04,5.46,Traffic congestion,Unhealthy for sensitive groups,Children and seniors should reduce prolonged exertion outside,23.715
0.927,8.99,4.28,3.71,Natural background air,Good,Enjoy all outdoor activities with no restrictions,2.6035
5.137,17.22,157.18,5.9,Waste burning,Very unhealthy,Postpone all unnecessary outdoor travel and work,81.1585
2.86,20.07,149.75,0.3,Domestic cooking/heating smoke,Unhealthy,Ensure proper ventilation with an air filter system,76.305
